Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Microsoft,Intel i3,16.0,1TB HDD,Integrated,16.0,2560x1440,7.5,2.93,Linux,911.48
Microsoft,Intel i3,32.0,1TB SSD,AMD Radeon RX 6600,14.0,2560x1440,10.5,2.21,FreeDOS,1577.04
Razer,Intel i3,32.0,512GB SSD,AMD Radeon RX 6600,15.6,1920x1080,4.5,2.77,FreeDOS,1942.86
Apple,Intel i3,4.0,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,10.1,2.03,Linux,1209.38
Acer,Intel i9,4.0,2TB SSD,Nvidia RTX 3060,15.6,3840x2160,5.8,1.3,Windows,2703.76
Razer,Intel i9,16.0,256GB SSD,AMD Radeon RX 6800,13.3,1366x768,9.0,2.02,FreeDOS,2222.44
Lenovo,Intel i3,16.0,2TB SSD,Nvidia RTX 3060,16.0,1366x768,6.2,3.07,FreeDOS,1049.4
Apple,Intel i3,64.0,256GB SSD,Integrated,13.3,3840x2160,8.5,1.89,Windows,3350.55
MSI,Intel i5,64.0,2TB SSD,AMD Radeon RX 6800,17.3,3840x2160,8.3,2.8,Linux,5571.12
Samsung,Intel i5,8.0,256GB SSD,Nvidia RTX 3060,14.0,1920x1080,6.8,3.15,Windows,945.76
HP,AMD Ryzen 3,16.0,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,8.4,2.39,FreeDOS,1468.7
Dell,Intel i7,4.0,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,11.4,2.71,macOS,1030.08
Razer,AMD Ryzen 3,16.0,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,5.3,1.81,Windows,1945.53
Lenovo,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 3080,13.3,1920x1080,9.3,2.52,macOS,2272.57
Acer,AMD Ryzen 5,32.0,256GB SSD,Nvidia RTX 2060,14.0,2560x1440,9.8,1.45,FreeDOS,1975.93
Acer,AMD Ryzen 5,32.0,512GB SSD,Nvidia RTX 2060,14.0,1920x1080,8.6,3.38,macOS,1528.48
HP,AMD Ryzen 5,64.0,2TB SSD,Nvidia GTX 1650,14.0,1920x1080,11.0,3.01,FreeDOS,2407.28
MSI,AMD Ryzen 7,32.0,256GB SSD,AMD Radeon RX 6800,13.3,1366x768,5.0,2.66,Windows,2251.41
Razer,Intel i7,8.0,1TB SSD,Nvidia GTX 1650,15.6,1366x768,8.4,2.22,Windows,1567.98
Microsoft,Intel i3,8.0,1TB SSD,AMD Radeon RX 6800,16.0,2560x1440,11.1,2.67,macOS,1059.67
Microsoft,Intel i5,16.0,1TB SSD,Nvidia RTX 2060,13.3,1366x768,8.8,1.31,Windows,894.24
MSI,AMD Ryzen 3,64.0,1TB HDD,Nvidia GTX 1650,13.3,1366x768,10.5,2.36,Windows,1875.86
Apple,AMD Ryzen 9,16.0,2TB SSD,Nvidia GTX 1650,17.3,2560x1440,8.4,2.93,Linux,3972.59
Samsung,Intel i7,64.0,1TB HDD,Nvidia RTX 3080,17.3,3840x2160,6.9,1.85,macOS,4519.81
HP,Intel i7,16.0,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,6.3,1.78,macOS,2721.32
Lenovo,Intel i3,8.0,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,5.4,2.08,macOS,554.09
Razer,AMD Ryzen 5,8.0,256GB SSD,Nvidia RTX 2060,16.0,1366x768,9.3,2.95,macOS,1307.59
Microsoft,AMD Ryzen 5,32.0,256GB SSD,Nvidia RTX 3080,15.6,2560x1440,5.6,1.57,Linux,2235.6
Samsung,AMD Ryzen 5,4.0,2TB SSD,Nvidia RTX 2060,13.3,1366x768,4.9,1.95,Windows,747.86
Microsoft,AMD Ryzen 3,16.0,1TB HDD,Nvidia RTX 3060,13.3,3840x2160,7.7,1.47,Windows,1322.49
Microsoft,AMD Ryzen 3,32.0,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,6.1,3.42,FreeDOS,2493.04
MSI,AMD Ryzen 7,16.0,1TB SSD,AMD Radeon RX 6800,17.3,1920x1080,7.9,2.87,macOS,2250.42
Microsoft,Intel i9,16.0,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,9.9,2.98,macOS,2164.3
Lenovo,AMD Ryzen 5,32.0,1TB HDD,Integrated,17.3,1366x768,9.5,3.34,Linux,760.56
Microsoft,Intel i5,8.0,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,8.9,2.24,Windows,1534.8
Razer,Intel i9,64.0,2TB SSD,AMD Radeon RX 6600,15.6,1366x768,7.9,2.94,Windows,5055.95
Apple,AMD Ryzen 9,4.0,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,6.6,2.27,Linux,2912.12
Microsoft,AMD Ryzen 3,4.0,2TB SSD,Nvidia RTX 3080,14.0,3840x2160,11.0,2.27,macOS,1303.22
Acer,AMD Ryzen 9,32.0,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,9.8,1.23,Linux,3309.12
Asus,Intel i7,4.0,2TB SSD,Nvidia RTX 3060,13.3,2560x1440,9.4,1.29,macOS,1456.95
Razer,AMD Ryzen 5,32.0,1TB SSD,AMD Radeon RX 6600,13.3,2560x1440,11.2,1.66,macOS,2726.01
Microsoft,AMD Ryzen 5,8.0,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,8.1,1.3,Windows,1200.31
Razer,AMD Ryzen 9,64.0,256GB SSD,AMD Radeon RX 6600,14.0,3840x2160,9.9,2.72,FreeDOS,9259.13
Lenovo,Intel i9,16.0,1TB SSD,AMD Radeon RX 6800,16.0,1366x768,6.8,2.37,macOS,1893.32
Samsung,Intel i9,4.0,512GB SSD,AMD Radeon RX 6800,13.3,1366x768,8.0,2.75,macOS,1156.41
MSI,Intel i7,8.0,256GB SSD,AMD Radeon RX 6800,13.3,1366x768,5.1,3.12,FreeDOS,1385.99
Apple,AMD Ryzen 3,8.0,1TB HDD,Nvidia GTX 1650,16.0,1920x1080,10.2,1.65,macOS,1034.69
Apple,Intel i3,8.0,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,7.8,1.98,macOS,1330.06
Microsoft,AMD Ryzen 7,64.0,2TB SSD,Nvidia RTX 3060,16.0,2560x1440,4.7,1.51,FreeDOS,4034.8
Razer,Intel i5,8.0,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,10.2,2.54,Linux,1914.72
Lenovo,AMD Ryzen 9,32.0,2TB SSD,Nvidia RTX 3060,14.0,1366x768,5.6,2.63,FreeDOS,2098.28
Lenovo,Intel i5,16.0,512GB SSD,Nvidia RTX 3060,13.3,1920x1080,11.3,1.78,FreeDOS,1224.73
Apple,AMD Ryzen 7,4.0,512GB SSD,Integrated,15.6,3840x2160,5.8,1.37,Linux,2102.29
Microsoft,Intel i5,8.0,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,6.7,1.99,macOS,1390.79
Lenovo,AMD Ryzen 5,16.0,1TB HDD,Nvidia RTX 2060,15.6,1366x768,9.8,3.01,Windows,840.56
Microsoft,Intel i9,4.0,1TB SSD,Nvidia RTX 3080,13.3,3840x2160,6.8,3.02,Windows,2616.83
HP,AMD Ryzen 7,32.0,1TB SSD,Integrated,15.6,1366x768,10.4,1.6,Windows,1159.75
Lenovo,AMD Ryzen 7,8.0,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,9.7,2.19,Linux,2150.68
HP,Intel i9,32.0,256GB SSD,Nvidia GTX 1650,17.3,1366x768,9.3,3.07,macOS,2326.22
Razer,AMD Ryzen 3,16.0,2TB SSD,Nvidia RTX 3080,16.0,2560x1440,10.1,2.48,Windows,1957.84
MSI,AMD Ryzen 9,4.0,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,9.9,2.38,Linux,2285.17
MSI,Intel i3,8.0,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,8.9,3.1,FreeDOS,1871.98
Samsung,AMD Ryzen 3,16.0,2TB SSD,Nvidia RTX 3060,15.6,2560x1440,10.3,1.32,FreeDOS,1428.74
Acer,AMD Ryzen 7,64.0,256GB SSD,Nvidia RTX 2060,16.0,1920x1080,10.9,2.35,Linux,3248.03
Microsoft,Intel i9,32.0,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,8.9,2.51,macOS,2936.89
Apple,AMD Ryzen 7,64.0,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,7.4,2.75,FreeDOS,7212.64
Acer,AMD Ryzen 7,8.0,1TB HDD,AMD Radeon RX 6800,14.0,1920x1080,6.0,3.27,macOS,976.07
Asus,AMD Ryzen 9,32.0,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,9.8,2.79,FreeDOS,2321.05
Samsung,AMD Ryzen 7,16.0,1TB HDD,Integrated,17.3,2560x1440,5.7,2.42,Linux,1233.25
MSI,Intel i9,16.0,1TB SSD,Integrated,16.0,1920x1080,5.3,2.62,Linux,1869.77
Apple,Intel i3,16.0,2TB SSD,AMD Radeon RX 6600,17.3,3840x2160,11.9,2.04,FreeDOS,2728.48
MSI,AMD Ryzen 3,4.0,256GB SSD,AMD Radeon RX 6800,17.3,1920x1080,5.0,2.36,FreeDOS,1015.26
Microsoft,AMD Ryzen 9,16.0,1TB SSD,Nvidia RTX 3060,16.0,3840x2160,7.7,3.43,Linux,3635.34
Microsoft,AMD Ryzen 3,8.0,1TB SSD,Nvidia RTX 2060,14.0,3840x2160,7.0,2.02,FreeDOS,1270.46
Apple,AMD Ryzen 9,8.0,1TB SSD,AMD Radeon RX 6600,17.3,1366x768,6.3,3.42,macOS,2351.38
MSI,AMD Ryzen 7,8.0,1TB SSD,Nvidia RTX 2060,16.0,1920x1080,9.4,2.14,FreeDOS,1680.04
Samsung,AMD Ryzen 5,16.0,256GB SSD,Integrated,15.6,3840x2160,4.5,2.61,FreeDOS,1427.56
Asus,AMD Ryzen 9,8.0,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,9.7,2.19,FreeDOS,2829.84
Apple,AMD Ryzen 7,64.0,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,7.1,2.78,Windows,8176.3
Microsoft,Intel i5,4.0,1TB HDD,Integrated,14.0,3840x2160,10.3,2.42,FreeDOS,799.42
HP,AMD Ryzen 5,64.0,1TB SSD,Nvidia RTX 3060,14.0,1920x1080,7.3,1.89,Linux,2272.25
Lenovo,AMD Ryzen 3,64.0,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,7.8,2.28,Windows,3471.43
HP,Intel i3,8.0,512GB SSD,Nvidia RTX 2060,15.6,1366x768,10.9,1.73,FreeDOS,853.3
Dell,AMD Ryzen 3,16.0,1TB HDD,Nvidia GTX 1650,16.0,1920x1080,7.9,2.11,Linux,1060.59
Samsung,Intel i7,8.0,512GB SSD,Nvidia RTX 3060,16.0,1920x1080,9.9,2.21,Windows,1271.79
HP,Intel i9,64.0,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,8.5,2.36,macOS,3470.31
Acer,AMD Ryzen 7,16.0,256GB SSD,AMD Radeon RX 6800,15.6,1366x768,6.8,2.6,Linux,1377.68
Lenovo,AMD Ryzen 9,32.0,1TB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.9,2.57,Windows,2759.91
MSI,Intel i3,32.0,1TB SSD,AMD Radeon RX 6600,13.3,2560x1440,11.2,3.24,macOS,2125.95
Asus,AMD Ryzen 3,8.0,2TB SSD,Nvidia RTX 3080,16.0,1366x768,6.0,2.38,macOS,782.32
MSI,Intel i9,16.0,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,11.4,1.63,Linux,4724.41
Acer,AMD Ryzen 3,4.0,2TB SSD,Nvidia RTX 3060,13.3,1366x768,6.5,1.3,macOS,613.68
Apple,Intel i3,4.0,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,6.7,1.65,macOS,1565.31
Razer,Intel i5,4.0,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,8.6,1.92,Windows,895.06
HP,AMD Ryzen 5,64.0,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,4.1,1.34,FreeDOS,2312.18
Apple,AMD Ryzen 5,32.0,256GB SSD,Nvidia GTX 1650,16.0,3840x2160,10.5,1.37,macOS,4243.07
Samsung,Intel i3,32.0,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,10.7,2.22,FreeDOS,1524.0
Asus,Intel i7,8.0,2TB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.3,2.36,macOS,2063.76
MSI,Intel i3,32.0,2TB SSD,Nvidia RTX 3060,17.3,1920x1080,5.9,2.28,macOS,1982.64
Razer,AMD Ryzen 9,8.0,2TB SSD,AMD Radeon RX 6600,15.6,2560x1440,7.8,2.06,macOS,3104.07
Asus,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 3060,17.3,3840x2160,10.6,1.99,macOS,2606.11
MSI,AMD Ryzen 7,32.0,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.3,1.3,Windows,3421.31
MSI,Intel i3,8.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,4.0,2.91,FreeDOS,1554.8
Apple,Intel i3,16.0,256GB SSD,Integrated,16.0,1920x1080,11.3,1.26,Linux,1164.06
Microsoft,Intel i5,4.0,2TB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.6,2.03,Linux,1205.82
MSI,Intel i3,64.0,2TB SSD,Integrated,17.3,3840x2160,11.9,1.49,Windows,3152.61
MSI,Intel i7,16.0,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,4.2,1.32,Windows,2324.19
Asus,AMD Ryzen 9,64.0,1TB SSD,Nvidia RTX 2060,14.0,1920x1080,9.5,3.32,Windows,3791.19
Apple,Intel i9,64.0,1TB SSD,Integrated,17.3,3840x2160,10.0,3.44,macOS,7184.8
Dell,Intel i3,4.0,1TB HDD,Integrated,13.3,1920x1080,10.6,1.27,Windows,413.19
MSI,Intel i9,4.0,1TB HDD,AMD Radeon RX 6800,16.0,3840x2160,8.7,3.13,Linux,2971.85
Dell,Intel i5,32.0,1TB SSD,Nvidia GTX 1650,17.3,2560x1440,4.7,1.55,FreeDOS,2046.84
HP,AMD Ryzen 5,8.0,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,8.1,3.19,Windows,1182.19
Lenovo,AMD Ryzen 3,64.0,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,9.2,2.73,FreeDOS,2465.27
Acer,Intel i5,8.0,512GB SSD,Nvidia RTX 3060,17.3,1366x768,6.4,3.18,Windows,922.25
Razer,Intel i3,4.0,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,8.9,2.05,macOS,2026.5
Microsoft,Intel i7,16.0,1TB HDD,AMD Radeon RX 6800,15.6,1366x768,10.1,2.47,Linux,1284.67
Acer,AMD Ryzen 9,64.0,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,5.0,3.41,macOS,4548.6
Asus,AMD Ryzen 5,32.0,2TB SSD,Nvidia RTX 3080,17.3,1366x768,6.1,3.11,Windows,1507.3
Asus,Intel i5,8.0,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,8.0,1.59,Windows,1314.59
Asus,Intel i9,64.0,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.1,1.46,macOS,3717.81
MSI,AMD Ryzen 3,32.0,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,11.2,2.73,FreeDOS,1938.02
Microsoft,AMD Ryzen 7,4.0,1TB SSD,Nvidia RTX 2060,16.0,3840x2160,8.2,3.2,Windows,2094.2
Apple,AMD Ryzen 5,16.0,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,10.6,1.81,FreeDOS,1645.78
Apple,AMD Ryzen 3,64.0,2TB SSD,AMD Radeon RX 6800,14.0,1920x1080,7.6,2.25,Linux,3047.34
Lenovo,AMD Ryzen 7,32.0,256GB SSD,Nvidia RTX 2060,16.0,1920x1080,10.3,1.81,FreeDOS,2271.85
Lenovo,Intel i3,64.0,1TB SSD,Nvidia GTX 1650,15.6,3840x2160,11.0,1.84,macOS,3577.34
Acer,Intel i5,16.0,1TB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.6,1.45,macOS,2206.71
MSI,Intel i5,16.0,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,8.7,2.05,Windows,2707.83
Apple,Intel i3,32.0,2TB SSD,Nvidia RTX 3080,14.0,1920x1080,6.4,2.46,FreeDOS,2105.29
Dell,Intel i7,32.0,512GB SSD,Nvidia RTX 3080,15.6,1366x768,6.5,2.38,macOS,1883.16
Asus,AMD Ryzen 9,64.0,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,6.0,1.63,FreeDOS,2962.88
Dell,Intel i3,32.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,10.5,2.52,Windows,1831.84
Samsung,AMD Ryzen 3,32.0,1TB HDD,Nvidia RTX 2060,16.0,1920x1080,7.4,2.34,FreeDOS,1320.15
Microsoft,AMD Ryzen 5,8.0,1TB SSD,AMD Radeon RX 6800,14.0,1920x1080,5.9,3.44,Windows,1152.27
Lenovo,AMD Ryzen 9,64.0,256GB SSD,AMD Radeon RX 6600,16.0,1920x1080,10.4,3.46,macOS,4371.16
MSI,AMD Ryzen 9,4.0,1TB SSD,Nvidia GTX 1650,17.3,2560x1440,4.3,2.26,FreeDOS,2762.02
Samsung,Intel i5,8.0,2TB SSD,Nvidia RTX 2060,16.0,1366x768,11.7,1.37,macOS,807.13
Apple,AMD Ryzen 5,4.0,512GB SSD,AMD Radeon RX 6600,15.6,3840x2160,10.7,2.22,macOS,2497.33
Asus,Intel i7,16.0,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,4.1,1.26,Windows,2526.03
Razer,AMD Ryzen 5,64.0,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,4.3,2.53,macOS,2994.23
Razer,Intel i5,32.0,256GB SSD,Integrated,17.3,1366x768,5.4,1.56,Windows,1475.54
Razer,AMD Ryzen 5,8.0,2TB SSD,Integrated,14.0,1920x1080,5.0,2.66,Windows,1071.5
Lenovo,AMD Ryzen 3,8.0,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,10.5,2.69,Linux,1618.94
MSI,AMD Ryzen 3,64.0,1TB HDD,Nvidia RTX 2060,13.3,1366x768,11.0,2.32,Windows,1790.15
HP,AMD Ryzen 9,32.0,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,9.9,2.24,Windows,3315.03
Apple,AMD Ryzen 5,8.0,2TB SSD,Nvidia RTX 3060,14.0,1366x768,6.9,1.39,Windows,1129.01
HP,Intel i3,16.0,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,11.1,2.11,FreeDOS,1060.99
Samsung,Intel i5,16.0,1TB HDD,Nvidia GTX 1650,15.6,3840x2160,5.3,3.2,FreeDOS,1865.94
Dell,AMD Ryzen 9,8.0,1TB SSD,Nvidia RTX 2060,13.3,1920x1080,11.2,2.28,macOS,1766.37
Samsung,Intel i3,64.0,256GB SSD,Nvidia RTX 3060,13.3,1366x768,10.9,2.9,FreeDOS,1553.35
Apple,AMD Ryzen 5,32.0,1TB HDD,Nvidia RTX 2060,15.6,2560x1440,8.4,3.43,Linux,2685.69
Microsoft,Intel i5,4.0,512GB SSD,Nvidia GTX 1650,17.3,1366x768,5.2,2.87,Linux,874.87
Microsoft,AMD Ryzen 5,32.0,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,8.3,1.29,macOS,1681.12
Razer,AMD Ryzen 9,32.0,256GB SSD,Nvidia RTX 3080,16.0,1366x768,7.8,2.68,macOS,3497.62
HP,AMD Ryzen 9,16.0,1TB SSD,Nvidia RTX 3080,17.3,1366x768,10.0,3.4,Windows,1955.02
HP,Intel i7,4.0,256GB SSD,Nvidia GTX 1650,16.0,2560x1440,4.0,2.64,FreeDOS,1637.76
Razer,AMD Ryzen 5,16.0,1TB SSD,Nvidia RTX 3060,17.3,1920x1080,6.6,2.06,FreeDOS,1992.14
Microsoft,Intel i5,4.0,512GB SSD,Integrated,16.0,1920x1080,10.5,2.5,macOS,823.49
MSI,Intel i3,16.0,1TB HDD,Integrated,16.0,1366x768,9.8,2.83,Linux,719.75
Lenovo,Intel i5,8.0,1TB SSD,Nvidia RTX 2060,13.3,1366x768,6.7,1.32,Linux,892.02
MSI,Intel i3,4.0,2TB SSD,Nvidia RTX 3060,17.3,2560x1440,6.9,2.35,FreeDOS,1268.64
Dell,Intel i9,16.0,512GB SSD,Nvidia RTX 2060,14.0,2560x1440,10.7,3.46,FreeDOS,2348.96
MSI,Intel i3,16.0,1TB HDD,Nvidia RTX 3060,14.0,1920x1080,7.2,1.78,Linux,1162.05
Apple,AMD Ryzen 9,16.0,1TB SSD,AMD Radeon RX 6800,17.3,3840x2160,11.5,3.2,FreeDOS,5299.79
Acer,Intel i9,64.0,512GB SSD,Nvidia GTX 1650,13.3,1366x768,7.5,2.1,macOS,3299.61
Lenovo,AMD Ryzen 7,4.0,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,11.9,1.74,Windows,2059.26
Lenovo,AMD Ryzen 3,8.0,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,5.9,3.41,Linux,1030.77
Acer,AMD Ryzen 3,64.0,1TB HDD,AMD Radeon RX 6800,15.6,1366x768,10.5,3.09,macOS,1589.54
MSI,AMD Ryzen 7,16.0,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,9.0,2.03,Linux,2730.61
MSI,AMD Ryzen 5,16.0,1TB SSD,Nvidia RTX 2060,13.3,2560x1440,5.2,2.75,Linux,2001.96
Lenovo,AMD Ryzen 5,32.0,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,11.3,2.28,macOS,2844.53
Acer,AMD Ryzen 9,4.0,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,8.8,1.99,macOS,1415.22
Asus,AMD Ryzen 3,4.0,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.2,3.38,macOS,908.83
HP,AMD Ryzen 9,16.0,256GB SSD,Nvidia RTX 3080,13.3,1366x768,8.6,2.9,Linux,1541.37
Razer,Intel i9,64.0,1TB SSD,Integrated,13.3,2560x1440,5.0,3.41,FreeDOS,4449.09
Samsung,Intel i7,4.0,256GB SSD,Nvidia RTX 2060,14.0,2560x1440,6.4,3.07,Windows,1540.73
Apple,Intel i5,16.0,2TB SSD,Nvidia RTX 2060,16.0,2560x1440,6.2,3.48,Linux,2537.62
MSI,Intel i7,32.0,256GB SSD,Integrated,14.0,2560x1440,5.2,2.43,Windows,2018.84
Asus,Intel i5,8.0,512GB SSD,Nvidia RTX 2060,15.6,1366x768,5.2,1.21,Linux,879.21
Samsung,AMD Ryzen 9,32.0,512GB SSD,AMD Radeon RX 6800,14.0,1366x768,8.8,2.03,Linux,2342.17
Asus,Intel i7,8.0,512GB SSD,Nvidia RTX 3060,17.3,1920x1080,6.2,2.61,FreeDOS,1499.76
Acer,Intel i7,32.0,2TB SSD,Nvidia GTX 1650,16.0,3840x2160,4.4,2.15,FreeDOS,3578.67
MSI,AMD Ryzen 7,64.0,2TB SSD,Integrated,13.3,1366x768,8.3,2.47,macOS,2249.78
MSI,AMD Ryzen 5,4.0,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,8.6,1.49,Windows,1591.81
MSI,Intel i9,64.0,1TB SSD,Nvidia RTX 3060,14.0,1366x768,9.8,1.35,FreeDOS,4370.86
MSI,Intel i5,32.0,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,11.8,1.85,Windows,2713.97
Lenovo,AMD Ryzen 3,32.0,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,5.7,2.89,Linux,2282.21
Dell,Intel i9,32.0,256GB SSD,Nvidia RTX 3060,15.6,3840x2160,10.0,1.72,Windows,4660.52
Samsung,Intel i7,64.0,256GB SSD,Integrated,14.0,1366x768,6.1,2.33,Linux,1703.36
Asus,Intel i9,8.0,512GB SSD,Nvidia RTX 3060,13.3,1920x1080,8.6,2.58,Linux,1809.23
Razer,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 2060,17.3,1366x768,9.1,3.14,Linux,3151.76
Samsung,Intel i9,4.0,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,10.7,2.04,Windows,2004.66
Apple,AMD Ryzen 9,64.0,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,8.4,2.27,Windows,5293.6
Microsoft,AMD Ryzen 3,8.0,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,9.0,2.88,Windows,711.87
Dell,Intel i5,64.0,256GB SSD,AMD Radeon RX 6800,17.3,1366x768,8.3,2.09,macOS,2052.0
Acer,AMD Ryzen 7,64.0,1TB HDD,Nvidia GTX 1650,14.0,3840x2160,4.8,2.82,Linux,4044.97
Lenovo,AMD Ryzen 7,8.0,2TB SSD,Nvidia GTX 1650,14.0,1366x768,6.8,3.34,Windows,1108.74
Dell,AMD Ryzen 3,16.0,2TB SSD,Nvidia RTX 2060,14.0,2560x1440,10.9,1.33,FreeDOS,1173.7
Lenovo,Intel i7,64.0,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.9,1.67,macOS,4893.85
Acer,Intel i7,16.0,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,9.9,1.49,Linux,2022.08
Samsung,Intel i3,4.0,256GB SSD,AMD Radeon RX 6600,15.6,3840x2160,6.1,1.33,macOS,1472.4
Microsoft,AMD Ryzen 5,16.0,256GB SSD,AMD Radeon RX 6600,13.3,2560x1440,10.3,1.43,macOS,1400.1
HP,Intel i9,64.0,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,10.2,2.84,Windows,5342.79
Samsung,AMD Ryzen 7,8.0,1TB HDD,Nvidia RTX 3060,17.3,1920x1080,11.9,1.85,FreeDOS,1173.41
Acer,Intel i7,16.0,1TB HDD,Nvidia RTX 2060,16.0,1366x768,8.4,1.47,Windows,1021.19
Apple,Intel i3,8.0,1TB HDD,Nvidia RTX 2060,15.6,3840x2160,9.2,2.55,Linux,1994.43
Acer,AMD Ryzen 7,32.0,1TB HDD,Nvidia GTX 1650,15.6,1366x768,6.6,2.03,macOS,1402.78
Razer,Intel i9,8.0,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,8.2,1.61,macOS,2632.8
Dell,Intel i9,16.0,1TB SSD,Nvidia RTX 3060,17.3,3840x2160,6.0,1.89,FreeDOS,3625.64
Samsung,Intel i7,64.0,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,9.0,2.36,FreeDOS,5502.59
Dell,Intel i9,8.0,1TB SSD,Nvidia RTX 2060,17.3,2560x1440,8.2,1.82,Linux,2130.63
Samsung,AMD Ryzen 9,32.0,1TB SSD,Nvidia RTX 3060,14.0,1920x1080,11.3,2.0,FreeDOS,2646.56
HP,AMD Ryzen 7,8.0,1TB SSD,AMD Radeon RX 6600,14.0,1920x1080,7.5,2.71,Windows,1373.81
Acer,AMD Ryzen 5,8.0,256GB SSD,Nvidia RTX 3060,17.3,1366x768,4.8,1.69,macOS,927.21
Asus,AMD Ryzen 5,32.0,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,9.7,3.4,Linux,1569.78
Apple,Intel i3,32.0,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,5.7,2.14,Linux,2597.25
MSI,AMD Ryzen 9,32.0,512GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.7,2.12,macOS,6095.45
Acer,AMD Ryzen 5,32.0,2TB SSD,Nvidia RTX 2060,15.6,1366x768,10.2,3.4,FreeDOS,1592.34
Asus,Intel i3,64.0,1TB SSD,Nvidia RTX 3080,16.0,1366x768,10.6,3.32,macOS,1868.31
Lenovo,Intel i3,64.0,1TB SSD,AMD Radeon RX 6600,16.0,1366x768,7.6,3.48,FreeDOS,1844.41
